RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_022904,Pandoraea pnomenusa 3kgm,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Pandoraea","(5121041.0, 5121856.0)",,,,5429298,False,0.6472118494877238,"(449.6082401275635, 1.8789753913879395, 498.4810085296631)",5290526,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_009446,Dichelobacter nodosus VCS1703A,"Bacteria, Proteobacteria, Gammaproteobacteria, Cardiobacteriales, Cardiobacteriaceae, Dichelobacter","(1459.0, 1667.0)",,,,1389350,False,0.4439572461942635,"(110.0322265625, 0.6512682437896729, 121.29991269111633)",1388011,317240.0,433797.0,913159.0,,,,,,,0.7877118672672491,0.239399914743497,0.0963990872603656,0.0227456490726201,,,,,,,0.6,0.2,0.1333333333333333,0.0666666666666666,,,,,,,0.9984297194488064,0.3417291559951968,0.0970403990359989,0.0015702805511936,,,,,,,0.7647058823529411,0.1764705882352941,0.0588235294117647,0.0,,,,,,,True,False,False,False,,,,,,
NZ_CP008804,"Moraxella catarrhalis strain 25240, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella","(97140.0, 97736.0)",,,,1941566,False,0.4148537829772462,"(149.2997875213623, 0.4676389694213867, 160.39081716537476)",45512,1422915.0,1097405.0,,,,,,,,0.7441980889900001,0.2590619254849677,0.1187648739729629,,,,,,,,0.8333333333333334,0.1111111111111111,0.0555555555555555,,,,,,,,0.9992609336366668,0.366074665343792,0.0007390663633333,,,,,,,,0.4,0.3,0.3,,,,,,,,True,False,False,,,,,,,
NZ_CP014869,"Brevibacterium linens strain BS258, complete genome.","Bacteria, Actinobacteria, Micrococcales, Brevibacteriaceae, Brevibacterium","(159353.0, 159768.0)",,,,3862244,True,0.6416451161552714,"(175.5020911693573, 1.4091880321502686, 201.03177213668823)",194682,3349101.0,3796541.0,1255456.0,1972597.0,,,,,,0.6410868690024065,0.3352094327041922,0.3253550682662601,0.2011555906642567,0.1414528135372759,,,,,,0.2571428571428571,0.2571428571428571,0.0857142857142857,0.2,0.2,,,,,,0.999451083197696,0.6389616314459098,0.8903509190844945,0.4034667719927702,0.000548916802304,,,,,,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,,,,,,True,False,False,False,False,,,,,
NC_008787,Campylobacter jejuni subsp. jejuni 81-176,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1482.0)",,,,1616554,False,0.3062038137915591,"(129.66728568077087, 0.6461398601531982, 141.4396448135376)",1611326,196451.0,1462631.0,618388.0,,,,,,,0.6070385727886011,0.3932062031287804,0.385287693726706,0.0966651309151027,,,,,,,0.6,0.2666666666666666,0.0666666666666666,0.0666666666666666,,,,,,,0.9988934961435808,0.6907297204974527,0.7558630811801182,0.0011065038564193,,,,,,,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,,,,,,,True,False,False,False,,,,,,
NC_014733,Methylovorus sp. MP688 chromosome,"Bacteria, Proteobacteria, Betaproteobacteria, Methylophilales, Methylophilaceae, Methylovorus","(1548.0, 1873.0)",,,,2862391,False,0.5543805860205682,"(194.34271788597107, 1.1774671077728271, 218.43980479240417)",2224,2125082.0,,,,,,,,,0.8552718175518811,0.1447836229158741,,,,,,,,,0.9,0.1,,,,,,,,,0.9991487859889768,0.001017535414289,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,True,False,,,,,,,,
NC_018010,Belliella baltica DSM 15883 chromosome,"Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Belliella","(1061213.0, 1061720.0)",,,,4196595,True,0.3681313064520164,"(270.68097019195557, 1.5401365756988525, 305.02297377586365)",4195336,600955.0,1081556.0,2756585.0,,,,,,,0.3997374364189197,0.3994666529869715,0.3988466996066273,0.2576699709884876,,,,,,,0.1,0.1,0.35,0.45,,,,,,,0.8769900870345371,0.8095110700720257,0.5576512099309929,0.1230099129654629,,,,,,,0.2222222222222222,0.2888888888888888,0.2888888888888888,0.2,,,,,,,False,False,False,False,,,,,,
NC_017279,Campylobacter jejuni subsp. jejuni IA3902 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1482.0)",,,,1635045,False,0.3056588656581317,"(83.59042763710022, 0.5739572048187256, 92.0572681427002)",1628786,207007.0,,,,,,,,,0.7655350800217291,0.2344649199782708,,,,,,,,,0.6,0.4,,,,,,,,,0.9966052400651874,0.0033947599348125,,,,,,,,,0.7,0.3,,,,,,,,,True,False,,,,,,,,
NC_007964,Nitrobacter hamburgensis X14,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Nitrobacter","(120081.0, 120557.0)",,,,4406967,False,0.6171378183680523,"(385.47110390663147, 1.6267874240875244, 421.3521111011505)",74299,4047932.0,3636608.0,,,,,,,,0.763537549971241,0.3002040299073388,0.1322957833620922,,,,,,,,0.625,0.3125,0.0625,,,,,,,,0.9989459832470566,0.5881120897220165,0.0010540167529433,,,,,,,,0.6666666666666666,0.0,0.3333333333333333,,,,,,,,True,False,False,,,,,,,
NC_011025,Mycoplasma arthritidis 158L3-1,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(820215.0, 106.0)",,,,820453,True,0.3070949828935966,"(49.876126289367676, 0.3035299777984619, 53.94931483268738)",816159,712246.0,141334.0,104046.0,176805.0,224876.0,613893.0,262377.0,362659.0,482107.0,0.445582901916727,0.2886707720487934,0.285743670175132,0.2684155100070578,0.2559489870650281,0.2042736076423174,0.1588421843311815,0.1389110525280893,0.1091309027970777,0.0920333219124959,0.2272727272727272,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.0681818181818181,0.0227272727272727,0.0227272727272727,0.0227272727272727,0.1136363636363636,0.0454545454545454,0.9983648673663428,0.7069214070554711,0.6223825256769112,0.7269637017383451,0.5228974662455896,0.3880733481794776,0.4310720075389991,0.2828947737458841,0.0016351326336574,0.0614535010910233,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1666666666666666,0.1666666666666666,0.0555555555555555,0.0555555555555555,False,False,False,False,False,False,False,False,False,False
NC_014933,Bacteroides helcogenes P 36-108 chromosome,"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides","(889981.0, 890763.0)",,,,3998906,False,0.4471745522400376,"(295.1901774406433, 0.9808139801025391, 316.4643681049347)",926497,3998831.0,,,,,,,,,0.5469254807018622,0.3860028860028859,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.2987851001142445,0.5,,,,,,,,,0.5238095238095238,0.4761904761904761,,,,,,,,,True,False,,,,,,,,
NC_017290,Chlamydophila psittaci 08DC60 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1171886.0, 148.0)",,,,1172032,False,0.3905405313165511,"(69.005690574646, 0.37918901443481445, 75.44090723991394)",1171919,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP021868,"Streptococcus agalactiae strain SG-M8 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(2149155.0, 2149308.0)","(2147585.0, 2147792.0)",,,2167120,False,0.3560388903244859,"(151.91774582862854, 1.0854756832122803, 170.59596180915833)",2161703,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP023074,"Enterococcus thailandicus strain a523 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus","(2645733.0, 2646250.0)","(1336.0, 1504.0)",,,2646250,False,0.3684814359943316,"(177.1461672782898, 1.020812749862671, 196.9986686706543)",2644121,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_007492,Pseudomonas fluorescens PfO-1,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6438251.0, 564.0)",,,,6438405,False,0.6052095200597042,"(417.126097202301, 2.321443796157837, 475.4021339416504)",15191,1667117.0,,,,,,,,,0.9597275499668432,0.0402724500331567,,,,,,,,,0.9,0.1,,,,,,,,,0.999590813165836,0.0004091868341641,,,,,,,,,0.979591836734694,0.0204081632653061,,,,,,,,,True,False,,,,,,,,
NC_018495,Mycoplasma genitalium M2321 chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(578483.0, 579124.0)",,,,579977,True,0.3167418707983248,"(44.496870040893555, 0.20559954643249512, 48.208655834198)",578200,364598.0,480431.0,104137.0,288963.0,,,,,,0.498464402208765,0.4372756895522219,0.293337564861065,0.2314431910340911,0.0562234077175824,,,,,,0.5,0.2222222222222222,0.0555555555555555,0.0555555555555555,0.1666666666666666,,,,,,0.9953932066262952,0.2562715131011103,0.657790472360973,0.6387740175467179,0.0020035564860807,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,False,False,False,False,False,,,,,
NZ_CP016396,Mycobacterium avium strain RCAD0278,"Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae,Mycobacterium, Mycobacterium avium complex (MAC)","(2174979.0, 2175547.0)","(2172845.0, 2173448.0)",,,4953610,False,0.6929423188341431,"(221.3481285572052, 1.9922692775726318, 265.42026472091675)",2212091,1482223.0,2812841.0,3587155.0,4103349.0,4908460.0,,,,,0.6040191694518778,0.3685353282522297,0.3561363341008679,0.165112988662696,0.075960874952868,0.0730641638814555,,,,,0.0625,0.15625,0.34375,0.125,0.09375,0.21875,,,,,0.9995575083556332,0.699355984756689,0.7246590023026038,0.370338965988088,0.1341326248586041,0.0004424916443666,,,,,0.75,0.25,0.0,0.0,0.0,0.0,,,,,True,False,False,False,False,False,,,,
NZ_AP017973,"Lactobacillus fermentum DNA, complete genome, strain: MTCC 25067.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1318.0, 1481.0)",,,,1954694,False,0.5146273534374178,"(155.43896508216858, 0.7580137252807617, 169.84862112998962)",1951130,1782377.0,833406.0,,,,,,,,0.8280028125922939,0.4065745167800024,0.0305830459935646,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.9991599529283968,0.795481126097583,0.0008400470716031,,,,,,,,0.6666666666666666,0.3333333333333333,0.0,,,,,,,,True,False,False,,,,,,,
NC_020418,Morganella morganii subsp. morganii KT,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Morganella","(551232.0, 551983.0)",,,,3799539,False,0.5113944086374689,"(239.0445704460144, 0.7806236743927002, 257.62190294265747)",517461,21969.0,3132222.0,,,,,,,,0.6585882902014166,0.3806810046575744,0.154630100603181,,,,,,,,0.5625,0.25,0.1875,,,,,,,,0.999471767155974,0.5816981863865164,0.0005282328440259,,,,,,,,0.4137931034482758,0.3103448275862069,0.2758620689655172,,,,,,,,True,False,False,,,,,,,
NC_018625,Chlamydia psittaci CP3 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1168004.0, 147.0)",,,,1168150,False,0.390552583144288,"(69.60809779167175, 0.49767303466796875, 78.0105209350586)",1166811,,,,,,,,,,0.6666666666666666,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,False,,,,,,,,,
NC_021237,Pseudomonas protegens CHA0,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6867460.0, 100.0)",,,,6867980,False,0.6339058937271221,"(404.7578635215759, 2.4713053703308105, 469.08138823509216)",6839664,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_016857,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Typhimurium","(4105100.0, 4105477.0)",,,,4878013,False,0.5218335826493288,"(220.35428547859192, 2.009061336517334, 264.39371967315674)",4107971,,,,,,,,,,0.8887932291503503,,,,,,,,,,1.0,,,,,,,,,,0.6663796874510506,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_011989,Agrobacterium vitis S4 chromosome 1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Agrobacterium","(3726178.0, 202.0)",,,,3726375,False,0.5765756264466136,"(182.255774974823, 1.5158286094665527, 214.53529810905457)",3714463,647953.0,,,,,,,,,0.5650023813303698,0.4349976186696301,,,,,,,,,0.9,0.1,,,,,,,,,0.4616738106577763,0.5383261893422236,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,True,False,,,,,,,,
NC_018722,Treponema pallidum subsp. pallidum str. Mexico A chromosome,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,,1140038,False,0.5278174938028382,"(75.96733450889587, 0.4900650978088379, 84.6954116821289)",2611,949268.0,743205.0,,,,,,,,0.8276569141848346,0.2587994455476274,0.0864844999565797,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.9981222577060186,0.5188225790671246,0.0018777422939815,,,,,,,,0.6666666666666666,0.1666666666666666,0.1666666666666666,,,,,,,,True,False,False,,,,,,,
NC_017477,Lactobacillus johnsonii DPC 6026 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1965857.0, 1966342.0)",,,,1966342,False,0.3478128423234615,"(136.28966355323792, 0.7894432544708252, 151.64638257026672)",634,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP002082,"Spiroplasma mirum ATCC 29335, complete genome.","Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1131696.0, 1132591.0)",,,,1132591,True,0.2941229446463904,"(86.25360989570618, 0.4921443462371826, 93.52766752243042)",29,1018438.0,,,,,,,,,0.8313102736249539,0.1686897263750461,,,,,,,,,0.9,0.1,,,,,,,,,0.9939308208748616,0.0060691791251383,,,,,,,,,0.6,0.4,,,,,,,,,True,False,,,,,,,,
NC_014168,Segniliparus rotundus DSM 44985 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Segniliparaceae, Segniliparus","(1594.0, 2094.0)",,,,3157527,False,0.6679128951233038,"(228.83840799331665, 1.1831996440887451, 255.99365305900574)",25860,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_021216,Helicobacter pylori UM299,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1107067.0, 1107173.0)","(1105479.0, 1105698.0)",,,1594569,False,0.3881882815983504,"(123.92381000518799, 0.5891504287719727, 134.2940912246704)",671103,1107185.0,1253585.0,406175.0,,,,,,,0.4389040096896608,0.4263592068222774,0.2692504851974267,0.2316280885388288,,,,,,,0.5,0.3333333333333333,0.0555555555555555,0.1111111111111111,,,,,,,0.5909055774560793,0.5909055774560793,0.5909055774560794,0.325708638376343,,,,,,,0.2258064516129032,0.3548387096774194,0.1612903225806451,0.2580645161290322,,,,,,,False,False,False,False,,,,,,
NC_014810,Helicobacter felis ATCC 49179,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1345298.0, 1345647.0)",,,,1672681,True,0.4450860624350967,"(129.15681958198547, 0.8118293285369873, 139.94227409362793)",1311612,50087.0,403989.0,745242.0,898193.0,560874.0,1071974.0,,,,0.3802204402873344,0.336096144308863,0.2701227187252938,0.1844727270328478,0.1844727270328478,0.1743717169318377,0.1707642133243341,,,,0.2727272727272727,0.2727272727272727,0.2121212121212121,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0909090909090909,,,,0.5822197624204449,0.6284183030564592,0.4911040869118122,0.3499549776353401,0.3499549776353401,0.3499549776353401,0.3499549776353401,,,,0.2857142857142857,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0714285714285714,,,,False,False,False,False,False,False,False,,,
NZ_LT714196,"Streptococcus agalactiae isolate BM110 genome assembly, chromosome: I.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(2170254.0, 185.0)","(1548.0, 1701.0)",,,2170276,False,0.3552234830961592,"(165.39716744422913, 0.9649300575256348, 182.08851599693298)",2169576,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_021890,Chlamydia trachomatis RC-F(s)/342,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723497.0, 723793.0)",,,,1083842,False,0.4150697241848904,"(83.48470306396484, 0.44431328773498535, 90.73433876037598)",9,723517.0,,,,,,,,,0.5050308292871422,0.4101453179618377,,,,,,,,,0.25,0.75,,,,,,,,,0.6936639164328552,0.0518645253140844,,,,,,,,,0.5714285714285714,0.4285714285714285,,,,,,,,,True,True,,,,,,,,
NZ_AP012544,"Lactobacillus casei subsp. casei ATCC 393 DNA, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1351.0, 1523.0)",,,,2924929,False,0.479152485410757,"(203.46368765830994, 1.2571110725402832, 226.62392592430115)",2920237,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NZ_CP008920,"Providencia stuartii strain ATCC 33672, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Morganellaceae, Providencia","(1173882.0, 1174577.0)",,,,4285951,False,0.4154566862756947,"(295.4413938522339, 1.4965035915374756, 328.2183828353882)",1191088,4285343.0,,,,,,,,,0.7775982902233474,0.2224017097766526,,,,,,,,,0.8333333333333334,0.1666666666666666,,,,,,,,,0.9994615373367086,0.0005384626632913,,,,,,,,,0.5,0.5,,,,,,,,,True,False,,,,,,,,
NC_014391,Micromonospora aurantiaca ATCC 27029 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Micromonospora","(2138.0, 3192.0)",,,,7025559,True,0.7282213415331079,"(474.1864171028137, 2.731020212173462, 526.4758448600769)",6939025,622792.0,6193182.0,1234181.0,5575619.0,1882674.0,2545411.0,4977586.0,3372103.0,,0.6228879448311009,0.3427583770769402,0.309067039184258,0.2410013255216496,0.2384291712696156,0.1989691570077986,0.1515225368559359,0.1419964124411639,0.0715564996133435,,0.2857142857142857,0.0238095238095238,0.0238095238095238,0.0714285714285714,0.0714285714285714,0.0476190476190476,0.1428571428571428,0.119047619047619,0.2142857142857142,,0.9996162154456836,0.83779894075463,0.7724392127908691,0.6515754051363776,0.5843351328564659,0.4540503281662531,0.2521866581868555,0.402179713513968,0.0003837845543164,,0.5833333333333334,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,,True,False,False,False,False,False,False,False,False,
NC_010801,Burkholderia multivorans ATCC 17616 chromosome 3,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(5038.0, 6690.0)",,,,919805,False,0.657751371214551,"(71.99949884414673, 0.4282667636871338, 79.06824493408203)",2683,768614.0,,,,,,,,,0.2727272727272727,0.0606060606060606,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,True,False,,,,,,,,
NC_015958,Thermoanaerobacter wiegelii Rt8.B1 chromosome,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter","(2784490.0, 113.0)",,,,2785056,False,0.3434157158778854,"(211.00956106185913, 0.28984522819519043, 233.94964504241943)",1556,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_014963,Terriglobus saanensis SP1PR4 chromosome,"Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae, Terriglobus","(5094829.0, 46.0)",,,,5095226,False,0.5733545479631326,"(339.33956575393677, 1.6010932922363281, 377.00875997543335)",336173,4949989.0,4233261.0,3136903.0,1218663.0,,,,,,0.3654940970180429,0.3552530079590403,0.3503373005842227,0.2891914364854042,0.2478411018308365,,,,,,0.25,0.25,0.25,0.0833333333333333,0.1666666666666666,,,,,,0.8464822910541286,0.9824256905437876,0.601011901752668,0.0175743094562126,0.3768566388258427,,,,,,0.0,0.0,0.2,0.2,0.6,,,,,,False,False,False,False,False,,,,,
NC_010552,Burkholderia ambifaria MC40-6 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(1057.0, 1400.0)",,,,2769414,False,0.6654227211966142,"(208.68683791160583, 0.8860387802124023, 230.865305185318)",2764758,,,,,,,,,,0.6666666666666666,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_017551,Leptospira interrogans serovar Lai str. IPAV chromosome chromosome 1,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(1566.0, 3220.0)",,,,4349158,False,0.3501834148127062,"(184.19217824935913, 0.767207145690918, 201.73138737678528)",3499,785753.0,,,,,,,,,0.7756980633420271,0.2244217472043599,,,,,,,,,0.9,0.1,,,,,,,,,0.998522761454653,0.0018366701845082,,,,,,,,,0.4285714285714285,0.5714285714285714,,,,,,,,,True,False,,,,,,,,
NC_002945,Mycobacterium bovis AF2122/97,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex","(1525.0, 2051.0)",,,,4349904,False,0.6563259786882653,"(236.59837770462036, 0.9137063026428223, 256.42344856262207)",4349601,3854675.0,,,,,,,,,0.9160312923526964,0.0839687076473035,,,,,,,,,0.75,0.25,,,,,,,,,0.9980938770580896,0.0019061229419106,,,,,,,,,1.0,0.0,,,,,,,,,True,False,,,,,,,,
NZ_CP007561,"Streptococcus pyogenes strain NGAS596, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(1561.0, 1714.0)",,,,1791306,False,0.3853311494518524,"(120.72834777832031, 0.9052615165710449, 136.16030597686768)",2894,1603417.0,,,,,,,,,0.9381621394361424,0.0618378605638576,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.996304600126609,0.003695399873391,,,,,,,,,1.0,0.0,,,,,,,,,True,False,,,,,,,,
NC_011026,Chloroherpeton thalassium ATCC 35110,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chloroherpeton","(1004121.0, 1004787.0)",,,,3293456,False,0.4503891960299454,"(228.08896255493164, 1.2523527145385742, 254.05451679229736)",985159,1548740.0,2376532.0,,,,,,,,0.6587695065737773,0.2451581537917775,0.1885281823429394,,,,,,,,0.8181818181818182,0.0909090909090909,0.0909090909090909,,,,,,,,0.6844424910131981,0.3287758967820311,0.2641491403302536,,,,,,,,0.4736842105263157,0.3157894736842105,0.2105263157894736,,,,,,,,True,False,False,,,,,,,
NC_010397,Mycobacterium abscessus chromosome Chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium","(5066572.0, 5067172.0)",,,,5067172,False,0.6413101824844312,"(425.001070022583, 1.8622257709503174, 473.0804078578949)",5067062,,,,,,,,,,0.8333333333333334,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,
NC_013524,Sphaerobacter thermophilus DSM 20745 chromosome chromosome 2,"Bacteria, Chloroflexi, Sphaerobacteridae, Sphaerobacterales, Sphaerobacterineae, Sphaerobacteraceae, Sphaerobacter","(755032.0, 755894.0)",,,,1252731,False,0.6812380311495445,"(93.3505699634552, 0.5302038192749023, 103.6642382144928)",274,766720.0,,,,,,,,,0.2142857142857143,0.119047619047619,,,,,,,,,0.6428571428571429,0.3571428571428571,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,False,False,,,,,,,,
NC_007794,Novosphingobium aromaticivorans DSM 12444,"Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium","(119513.0, 119849.0)",,,,3561584,False,0.651528084133352,"(231.77846837043762, 1.261404037475586, 258.1338596343994)",22034,1241735.0,502514.0,1558818.0,852853.0,,,,,,0.3760835119376072,0.3475120833661786,0.3284644643185596,0.2523267451781804,0.2356073214614168,,,,,,0.3428571428571428,0.2571428571428571,0.2,0.0285714285714285,0.1714285714285714,,,,,,0.5353933929556789,0.5353933929556789,0.5353933929556789,0.5353933929556789,0.4784088069631126,,,,,,0.25,0.25,0.25,0.25,0.0,,,,,,False,False,False,False,False,,,,,
