RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,N_penalty,O_penalty,D_penalty
NC_009495,Clostridium botulinum A str. ATCC 3502,"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium","(3886362.0, 3886916.0)","(1348.0, 1609.0)",,,3886916,False,"(3886433, 16)",3886683,,,,,,,,,,,,,,,,,[0.0],200,[4260]
NC_011420,Rhodospirillum centenum SW,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Rhodospirillum","(2881635.0, 2881977.0)",,,,4355543,False,"(3963480, 3963980)",3963730,,,,,,,,,,,,,,,,,[0.0],0,[257470]
NZ_CP021780,"Paenibacillus donghaensis strain KCTC 13049 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus","(7061319.0, 7061993.0)",,,,8542333,False,"(7064734, 7065234)",7064984,"(980, 1480)",1230.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[67910, 24390]"
NZ_CP016543,"Planococcus donghaensis strain DSM 22276, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus","(3304674.0, 3305371.0)","(1345.0, 1517.0)",,,3305371,False,"(3023, 3523)",3273,,,,,,,,,,,,,,,,,[0.0],0,[56510]
NZ_CP022752,"Actinopolyspora erythraea strain YIM 90600 chromosome, complete genome.","Bacteria, Actinobacteria, Actinopolysporales, Actinopolysporaceae, Actinopolyspora","(1894.0, 3055.0)",,,,5243930,False,"(5242923, 5243423)",5243173,,,,,,,,,,,,,,,,,[0.0],300,[12020]
NC_009828,Thermotoga lettingae TMO,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(157248.0, 157755.0)",,,,2135342,False,"(899046, 899546)",899296,,,,,,,,,,,,,,,,,[0.0],0,[545930]
NZ_CP023074,"Enterococcus thailandicus strain a523 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus","(2645733.0, 2646250.0)","(1336.0, 1504.0)",,,2646250,False,"(2642866, 2643366)",2643116,,,,,,,,,,,,,,,,,[0.0],0,[65210]
NZ_CP016210,"Azoarcus olearius strain DQS4, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus","(4436121.0, 4436511.0)",,,,4451751,False,"(4442753, 4443253)",4443003,"(139265, 139765)",139515.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[138870, 364440]"
NC_008825,Methylibium petroleiphilum PM1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Methylibium","(4044058.0, 185.0)","(1590.0, 1823.0)",,,4044195,False,"(4031861, 4032361)",4032111,"(446457, 446957)",446707.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[210610, 160610]"
NC_009831,Shewanella sediminis HAW-EB3,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(4368.0, 4811.0)",,,,5517674,False,"(5515462, 5515962)",5515712,,,,,,,,,,,,,,,,,[0.0],0,[41060]
NC_010505,Methylobacterium radiotolerans JCM 2831,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium","(4549435.0, 4549921.0)",,,,6077833,False,"(4941, 5441)",5191,"(4078431, 4078931)",4078681.0,"(2188482, 2188982)",2188732.0,"(515693, 516193)",515943.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[16840, 96280, 584860, 441990]"
NC_013385,Ammonifex degensii KC4,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Moorella group, Ammonifex","(2129201.0, 187.0)",,,,2129237,False,"(712, 1212)",962,,,,,,,,,,,,,,,,,[0.0],0,[16880]
NC_010729,Porphyromonas gingivalis ATCC 33277,"Bacteria, Bacteroidetes, Bacteroidetes (class), Bacteroidales, Porphyromonadaceae, Porphyromonas","(2176588.0, 2177156.0)",,,,2354886,False,"(633383, 633883)",633633,,,,,,,,,,,,,,,,,[0.0],0,[263660]
NC_013009,Neorickettsia risticii str. Illinois,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Neorickettsia","(876108.0, 876518.0)",,,,879977,False,"(877701, 878201)",877951,,,,,,,,,,,,,,,,,[0.0],300,[56170]
NZ_CP023465,"Lysobacter capsici strain KNU-14 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter","(1336.0, 2211.0)",,,,6270417,False,"(23630, 24130)",23880,"(6249885, 6250385)",6250135.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[452210, 431030]"
NC_014259,Acinetobacter sp. DR1 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter","(4152186.0, 323.0)",,,,4152543,False,"(4152220, 176)",4152470,,,,,,,,,,,,,,,,,[0.0],0,[5370]
NC_009937,Azorhizobium caulinodans ORS 571,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Azorhizobium","(1.0, 350.0)",,,,5369772,False,"(5366302, 5366802)",5366552,"(4374269, 4374769)",4374519.0,"(987928, 988428)",988178.0,"(1484582, 1485082)",1484832.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[36110, 70, 515120, 453050]"
NC_014219,Bacillus selenitireducens MLS10 chromosome,"Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus","(3592370.0, 653.0)","(2010.0, 2217.0)",,,3592487,False,"(5270, 5770)",5520,,,,,,,,,,,,,,,,,[0.0],0,[98400]
NC_013947,Stackebrandtia nassauensis DSM 44728 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Glycomycineae, Glycomycetaceae, Stackebrandtia","(6841169.0, 63.0)","(1765.0, 2245.0)",,,6841557,False,"(3333340, 3333840)",3333590,"(2150951, 2151451)",2151201.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[235450, 567440]"
NC_013530,Xylanimonas cellulosilytica DSM 15894,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Promicromonosporaceae, Xylanimonas","(3742473.0, 149.0)","(1557.0, 2110.0)",,,3742776,True,"(1902153, 1902653)",1902403,"(1448528, 1449028)",1448778.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[585570, 20690]"
NZ_CP013254,"Kocuria flava strain HO-9041, complete genome.","Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Kocuria","(614174.0, 614855.0)",,,,3504335,True,"(274980, 275480)",275230,"(3447722, 3448222)",3447972.0,"(1588428, 1588928)",1588678.0,"(602921, 603421)",603171.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[49520, 307340, 112690, 269530]"
NC_010162,Sorangium cellulosum 'So ce 56',"Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sorangineae, Polyangiaceae, Sorangium","(11354923.0, 11355551.0)",,,,13033779,False,"(11321578, 11322078)",11321828,,,,,,,,,,,,,,,,,[0.0],200,[39970]
NC_011144,Phenylobacterium zucineum HLK1,"Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Phenylobacterium","(3995748.0, 3996255.0)",,,,3996255,False,"(24773, 25273)",25023,"(3891030, 3891530)",3891280.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[486880, 140890]"
NC_010830,Candidatus Amoebophilus asiaticus 5a2,"Bacteria, Bacteroidetes, Candidatus Amoebophilus","(340652.0, 342578.0)",,,,1884364,False,"(315207, 315707)",315457,"(115323, 115823)",115573.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[240730, 512120]"
NC_010571,Opitutus terrae PB90-1,"Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae, Opitutus","(5957116.0, 19.0)",,,,5957605,False,"(991304, 991804)",991554,"(461917, 462417)",462167.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[149980, 26370]"
NC_016109,Kitasatospora setae KM-6054,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Kitasatospora","(4370854.0, 4372118.0)",,,,8783278,True,"(4024222, 4024722)",4024472,"(4795794, 4796294)",4796044.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[281380, 2290]"
NC_010263,Rickettsia rickettsii str. Iowa,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1267781.0, 1268175.0)",,,,1268201,False,"(41477, 41977)",41727,,,,,,,,,,,,,,,,,[0.0],0,[218980]
NC_011886,Arthrobacter chlorophenolicus A6,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Arthrobacter","(4395065.0, 176.0)","(1599.0, 2126.0)",,,4395537,False,"(4210448, 4210948)",4210698,"(529405, 529905)",529655.0,"(1361283, 1361783)",1361533.0,,,,,,,,,,,,,"[0.0003185048834761259, 0.0003185048834761259, 0.0003185048834761259]",0,"[483570, 162990, 126100]"
NZ_CP013979,"Agromyces aureus strain AR33, complete genome.","Bacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Agromyces","(4372690.0, 3.0)",,,,4373124,True,"(2758028, 2758528)",2758278,"(4278504, 4279004)",4278754.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[224610, 422710]"
NC_011891,Anaeromyxobacter dehalogenans 2CP-1,"Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter","(1625.0, 2041.0)",,,,5029329,True,"(4972788, 4973288)",4973038,"(5018116, 5018616)",5018366.0,"(1449859, 1450359)",1450109.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[528190, 274410, 378350]"
NC_010572,Streptomyces griseus subsp. griseus NBRC 13350,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(4324371.0, 4325375.0)",,,,8545929,False,"(8541650, 8542150)",8541900,"(4330277, 4330777)",4330527.0,"(776326, 776826)",776576.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[72310, 85220, 29550]"
NZ_CP014141,"Thermus parvatiensis strain RL, complete genome.","Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus","(158478.0, 158778.0)",,,,1872821,False,"(1860005, 1860505)",1860255,"(1355426, 1355926)",1355676.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[241730, 42700]"
NC_010602,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' chromosome 1,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(1467.0, 1712.0)",,,,3599677,False,"(3594498, 3594998)",3594748,,,,,,,,,,,,,,,,,[0.0],0,[53410]
NC_010718,Natranaerobius thermophilus JW/NM-WN-LF,"Bacteria, Firmicutes, Clostridia, Natranaerobiales, Natranaerobiaceae, Natranaerobius","(3165271.0, 145.0)","(1508.0, 1779.0)",,,3165557,False,"(3160174, 3160674)",3160424,,,,,,,,,,,,,,,,,[0.0],0,[103660]
NC_010334,Shewanella halifaxensis HAW-EB4,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(5226555.0, 80.0)",,,,5226917,False,"(11006, 11506)",11256,,,,,,,,,,,,,,,,,[0.0],0,[433700]
NC_020449,Candidatus Cloacamonas acidaminovorans str. Evry provisional genome sequence from WWE1 candidate division,"Bacteria, Cloacimonetes, Candidatus Cloacimonas","(2245811.0, 2246820.0)","(1333.0, 1752.0)",,,2246820,False,"(2225694, 2226194)",2225944,"(986343, 986843)",986593.0,"(555580, 556080)",555830.0,"(1999859, 2000359)",2000109.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[64530, 49040, 543220, 124450]"
NC_011894,Methylobacterium nodulans ORS 2060,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium","(1349719.0, 1350215.0)",,,,7772460,True,"(6032278, 6032778)",6032528,"(6750409, 6750909)",6750659.0,"(4556116, 4556616)",4556366.0,"(5355924, 5356424)",5356174.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",200,"[6190, 512400, 416830, 72020]"
NZ_CP016172,"Bordetella flabilis strain AU10664, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5801570.0, 5803980.0)",,,,5835727,False,"(5812, 6312)",6062,,,,,,,,,,,,,,,,,[0.0],0,[105440]
NZ_CP016171,"Bordetella bronchialis strain AU17976, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5934211.0, 5936964.0)",,,,5966919,False,"(3544, 4044)",3794,"(3837853, 3838353)",3838103.0,"(1036449, 1036949)",1036699.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[215880, 49220, 275550]"
NC_010694,Erwinia tasmaniensis,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Erwinia","(3883004.0, 3883467.0)",,,,3883467,False,"(3880720, 3881220)",3880970,"(3218422, 3218922)",3218672.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[266760, 54640]"
NC_013170,Cryptobacterium curtum DSM 15641,"Bacteria, Actinobacteria, Coriobacteridae, Coriobacteriales, Coriobacterineae, Coriobacteriaceae, Cryptobacterium","(1651.0, 1871.0)",,,,1617804,False,"(1617119, 1617619)",1617369,,,,,,,,,,,,,,,,,[0.0],0,[53620]
NC_013739,Conexibacter woesei DSM 14684,"Bacteria, Actinobacteria, Rubrobacteridae, Solirubrobacterales, Conexibacteraceae, Conexibacter","(6359091.0, 79.0)",,,,6359369,False,"(221535, 222035)",221785,"(6330811, 6331311)",6331061.0,"(767322, 767822)",767572.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",300,"[0, 311430, 6260]"
NC_023003,delta proteobacterium BABL1 complete genome,"Bacteria, Proteobacteria, Deltaproteobacteria","(651649.0, 652486.0)",,,,1118422,False,"(651255, 651755)",651505,,,,,,,,,,,,,,,,,[0.0],300,[33650]
NC_013235,Nakamurella multipartita DSM 44233,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Nakamurellaceae, Nakamurella","(6060050.0, 175.0)","(1850.0, 2435.0)",,,6060298,False,"(55633, 56133)",55883,"(4245831, 4246331)",4246081.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[24000, 448800]"
NC_013595,Streptosporangium roseum DSM 43021,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptosporangineae, Streptosporangiaceae, Streptosporangium","(10341154.0, 360.0)","(2110.0, 2671.0)",,,10341314,False,"(10337503, 10338003)",10337753,,,,,,,,,,,,,,,,,[0.0],0,[34440]
NC_013131,Catenulispora acidiphila DSM 44928,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Catenulisporineae, Catenulisporaceae, Catenulispora","(10467732.0, 369.0)","(2083.0, 2833.0)",,,10467782,False,"(9980999, 9981499)",9981249,"(8540, 9040)",8790.0,"(2969787, 2970287)",2970037.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[443020, 95290, 377500]"
NC_013523,Sphaerobacter thermophilus DSM 20745 chromosome 1,"Bacteria, Chloroflexi, Sphaerobacteridae, Sphaerobacterales, Sphaerobacterineae, Sphaerobacteraceae, Sphaerobacter","(2593848.0, 2594353.0)",,,,2741033,False,"(107945, 108445)",108195,,,,,,,,,,,,,,,,,[0.0],200,[6650]
NC_013729,Kribbella flavida DSM 17836,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Nocardioidaceae, Kribbella","(7579279.0, 341.0)",,,,7579488,False,"(261637, 262137)",261887,,,,,,,,,,,,,,,,,[0.0],0,[569690]
NC_010794,Methylacidiphilum infernorum V4,"Bacteria, Verrucomicrobia, unclassified Verrucomicrobia, Methylacidiphilum","(2287025.0, 250.0)",,,,2287145,False,"(2286652, 6)",2286902,,,,,,,,,,,,,,,,,[0.0],300,[170]
NZ_CP020809,Mycobacterium dioxanotrophicus strain PH-06 chromosome,"Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae,Mycobacterium","(1456.0, 1965.0)",,,,7595921,False,"(7587653, 7588153)",7587903,,,,,,,,,,,,,,,,,[0.0],0,[140500]
NC_007510,Burkholderia sp. 383 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(34512.0, 35376.0)",,,,3694126,False,"(79080, 79580)",79330,,,,,,,,,,,,,,,,,[0.0],0,[113970]
NC_010103,Brucella canis ATCC 23365 chromosome 1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(1992025.0, 1992476.0)",,,,2105969,False,"(1988908, 1989408)",1989158,"(1595749, 1596249)",1595999.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[52600, 55490]"
NC_011653,Thermosipho africanus TCF52B,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermosipho","(1852837.0, 1854452.0)",,,,2016657,True,"(574186, 574686)",574436,"(1014967, 1015467)",1015217.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[431410, 238660]"
NC_013223,Desulfohalobium retbaense DSM 5692,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfohalobiaceae, Desulfohalobium","(2830228.0, 2830405.0)",,,,2864304,False,"(2852748, 2853248)",2852998,,,,,,,,,,,,,,,,,[0.0],0,[273110]
NC_013216,Desulfotomaculum acetoxidans DSM 771,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum","(4545344.0, 30.0)",,,,4545624,False,"(1621, 2121)",1871,,,,,,,,,,,,,,,,,[0.0],0,[37360]
NC_013061,Pedobacter heparinus DSM 2366,"Bacteria, Bacteroidetes, Sphingobacteria, Sphingobacteriales, Sphingobacteriaceae, Pedobacter","(15988.0, 16500.0)",,,,5167383,False,"(5141, 5641)",5391,,,,,,,,,,,,,,,,,[0.0],0,[239810]
NC_013132,Chitinophaga pinensis DSM 2588,"Bacteria, Bacteroidetes, Sphingobacteria, Sphingobacteriales, Chitinophagaceae, Chitinophaga","(898988.0, 899757.0)",,,,9127347,True,"(6519, 7019)",6769,"(897274, 897774)",897524.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[172900, 408260]"
NC_016946,Mycobacterium intracellulare ATCC 13950 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium avium complex (MAC)","(5401565.0, 32.0)",,,,5402402,False,"(2367613, 2368113)",2367863,,,,,,,,,,,,,,,,,[0.0],0,[442710]
NC_014010,Alpha proteobacterium IMCC1322 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, SAR116 cluster, Candidatus Puniceispirillum","(1808666.0, 1808890.0)",,,,2753527,False,"(1808407, 1808907)",1808657,,,,,,,,,,,,,,,,,[0.0],0,[6960]
NZ_CP013401,Burkholderia metallica strain FL-6-5-30-S1-D7 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales,Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(33669.0, 34651.0)",,,,3556612,False,"(79157, 79657)",79407,,,,,,,,,,,,,,,,,[0.0],0,[138010]
NZ_CP013398,Burkholderia seminalis strain FL-5-4-10-S1-D7 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales,Burkholderiaceae, Burkholderia, Burkholderia cepacia complex","(40438.0, 41397.0)",,,,3505262,False,"(84380, 84880)",84630,,,,,,,,,,,,,,,,,[0.0],0,[122590]
NC_015559,Marinomonas posidonica IVIA-Po-181 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinomonas","(3899599.0, 170.0)",,,,3899940,False,"(3896124, 3896624)",3896374,,,,,,,,,,,,,,,,,[0.0],0,[85560]
NZ_CP009679,"Bacillus velezensis strain JS25R chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus amyloliquefaciens group","(4005793.0, 411.0)","(1753.0, 1936.0)",,,4006002,False,"(4605, 5105)",4855,,,,,,,,,,,,,,,,,[0.0],0,[98020]
NC_014964,Thermoanaerobacter brockii subsp. finnii Ako-1 chromosome,"Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter","(2344401.0, 85.0)",,,,2344824,False,"(2331675, 2332175)",2331925,,,,,,,,,,,,,,,,,[0.0],0,[259210]
NC_017096,Caldisericum exile AZM16c01,"Bacteria, Caldiserica, Caldisericia, Caldisericales, Caldisericaceae, Caldisericum","(1306.0, 1371.0)",,,,1558103,False,"(5122, 5622)",5372,,,,,,,,,,,,,,,,,[0.0],0,[107470]
NC_014014,Mycoplasma crocodyli MP145 chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(934098.0, 934379.0)","(1306.0, 1426.0)",,,934379,True,"(381900, 382400)",382150,"(27082, 27582)",27332.0,"(141903, 142403)",142153.0,"(505959, 506459)",506209.0,"(661332, 661832)",661582.0,,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0]",0,"[590310, 340860, 201280, 548470, 386110]"
NC_017093,Actinoplanes missouriensis 431,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Actinoplanes","(1946.0, 3167.0)",,,,8773466,False,"(28401, 28901)",28651,"(8025382, 8025882)",8025632.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[10980, 520860]"
NZ_CP012643,"Rufibacter tibetensis strain 1351, complete genome.","Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Rufibacter","(2143784.0, 2143852.0)",,,,5165513,False,"(5147710, 5148210)",5147960,,,,,,,,,,,,,,,,,[0.0],0,[119100]
NZ_CP012400,"Pseudomonas fluorescens strain LBUM636, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6610337.0, 6610921.0)",,,,6856835,True,"(7108, 7608)",7358,"(6621013, 6621513)",6621263.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[140120, 96130]"
NC_014109,Candidatus Riesia pediculicola USDA chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Candidatus Riesia","(193334.0, 194326.0)",,,,574390,True,"(92854, 93354)",93104,"(151266, 151766)",151516.0,"(194144, 194644)",194394.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[271710, 582400, 585850]"
NC_012778,Eubacterium eligens ATCC 27750,"Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium","(2143678.0, 2144190.0)","(1357.0, 1657.0)",,,2144190,False,"(8794, 9294)",9044,,,,,,,,,,,,,,,,,[0.0],0,[182640]
NC_014387,Butyrivibrio proteoclasticus B316 chromosome 1,"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Butyrivibrio","(3554233.0, 3554804.0)","(1402.0, 1719.0)",,,3554804,False,"(3554350, 45)",3554600,,,,,,,,,,,,,,,,,[0.0002531785156087368],0,[2310]
NC_011661,Dictyoglomus turgidum DSM 6724,"Bacteria, Dictyoglomi, Dictyoglomales, Dictyoglomaceae, Dictyoglomus","(276792.0, 277414.0)",,,,1855560,False,"(9021, 9521)",9271,,,,,,,,,,,,,,,,,[0.0],0,[185430]
NC_011027,Chlorobaculum parvum NCIB 8327 chromosome,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobaculum","(2288787.0, 166.0)","(1649.0, 1933.0)",,,2289249,False,"(2287217, 2287717)",2287467,,,,,,,,,,,,,,,,,[0.0],300,[83090]
NC_011026,Chloroherpeton thalassium ATCC 35110,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chloroherpeton","(1004121.0, 1004787.0)",,,,3293456,False,"(986091, 986591)",986341,"(2376282, 2376782)",2376532.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[72200, 89400]"
NZ_AP012322,"Bifidobacterium angulatum DSM 20098 = JCM 7096 DNA, complete genome.","Bacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(1558.0, 2115.0)",,,,2021974,False,"(8802, 9302)",9052,,,,,,,,,,,,,,,,,[0.0],0,[114820]
NC_013501,Rhodothermus marinus DSM 4252,"Bacteria, Bacteroidetes, Sphingobacteria, Sphingobacteriales, Rhodothermaceae, Rhodothermus","(3261255.0, 164.0)",,,,3261604,False,"(3261312, 207)",3261562,,,,,,,,,,,,,,,,,[0.0],0,[570]
NC_013515,Streptobacillus moniliformis DSM 12112,"Bacteria, Fusobacteria, Fusobacteriales, Fusobacteriaceae, Streptobacillus","(1662020.0, 65.0)",,,,1662578,False,"(1661506, 1662006)",1661756,,,,,,,,,,,,,,,,,[0.0],200,[400]
NZ_CP017267,"Vagococcus teuberi strain DSM 21459 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus","(2168841.0, 250.0)","(1592.0, 1751.0)",,,2169060,False,"(2162343, 2162843)",2162593,,,,,,,,,,,,,,,,,[0.0],0,[131130]
NC_015921,Borrelia bissettii DN127 chromosome,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Borrelia, Borrelia burgdorferi group","(456863.0, 457101.0)",,,,900755,False,"(469331, 469831)",469581,,,,,,,,,,,,,,,,,[0.0],0,[238500]
NC_012785,Kosmotoga olearia TBF 19.5.1,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Kosmotoga","(217247.0, 219145.0)",,,,2302126,True,"(1879280, 1879780)",1879530,"(88283, 88783)",88533.0,"(2100616, 2101116)",2100866.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",200,"[259860, 5750, 5040]"
NC_013203,Atopobium parvulum DSM 20469 chromosome,"Bacteria, Actinobacteria, Coriobacteridae, Coriobacteriales, Coriobacterineae, Coriobacteriaceae, Atopobium","(2730.0, 2963.0)","(1117.0, 1199.0)",,,1543805,False,"(1415, 1915)",1665,,,,,,,,,,,,,,,,,[0.0],300,[50]
NC_014158,Tsukamurella paurometabola DSM 20162 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Tsukamurellaceae, Tsukamurella","(4379475.0, 189.0)",,,,4379918,False,"(22617, 23117)",22867,"(410048, 410548)",410298.0,"(3516738, 3517238)",3516988.0,,,,,,,,,,,,,"[0.0, 0.0, 0.0]",0,"[589980, 593760, 154040]"
