RefSeq,Organism,Sequence_length,Penalties,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9
NZ_CP039287.1,"Cupriavidus necator H16 chromosome 1, complete sequence",4049965,"([0.0], 0, [150930])",False,"(5963, 6463)",6213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009718.1,"Fervidobacterium nodosum Rt17-B1, complete sequence",1948941,"([0.0, 0.0, 0.0], 0, [392170, 199780, 249270])",True,"(1930704, 1931204)",1930954,"(624125, 624625)",624375,"(1006908, 1007408)",1007158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008229.1,"Helicobacter acinonychis str. Sheeba, complete sequence",1553927,"([0.0, 0.0], 0, [462620, 20620])",False,"(778, 1278)",1028,"(1130105, 1130605)",1130355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010161.1,"Bartonella tribocorum CIP 105476, complete sequence",2619061,"([0.0], 0, [382620])",False,"(2598510, 2599010)",2598760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010622.1,"Paraburkholderia phymatum STM815 chromosome 1, complete sequence",3479187,"([0.0], 0, [118050])",False,"(3446060, 3446560)",3446310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP040463.1,"Caminibacter mediatlanticus TB-2 chromosome, complete genome",1685887,"([0.0], 0, [209140])",False,"(207195, 207695)",207445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_015730.1,"Roseobacter litoralis Och 149, complete sequence",4505211,"([0.0, 0.0], 0, [209630, 309490])",False,"(4097441, 4097941)",4097691,"(3672871, 3673371)",3673121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_020908.1,"Octadecabacter arcticus 238, complete sequence",5200279,"([0.0, 0.0, 0.0], 0, [467340, 233980, 1590])",False,"(4739803, 4740303)",4740053,"(5199665, 5200165)",5199915,"(264196, 264696)",264446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_020911.1,"Octadecabacter antarcticus 307, complete sequence",4812600,"([0.0, 0.0, 0.0, 0.0], 0, [46240, 6800, 303200, 314330])",False,"(14925, 15425)",15175,"(2098284, 2098784)",2098534,"(437850, 438350)",438100,"(4635197, 4635697)",4635447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008786.1,"Verminephrobacter eiseniae EF01-2, complete sequence",5566749,"([0.0], 0, [151550])",False,"(5538547, 5539047)",5538797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008751.1,"Desulfovibrio vulgaris DP4, complete sequence",3462887,"([0.0], 0, [22590])",False,"(3461503, 3462003)",3461753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP046052.1,"Methylocystis heyeri strain H2 chromosome, complete genome",4551947,"([0.0], 200, [44450])",False,"(3326, 3826)",3576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP004387.1,"Alcanivorax pacificus W11-5 chromosome, complete genome",4168427,"([2.3989864761935376e-05], 0, [331920])",False,"(4151591, 4152091)",4151841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP017996.1,"Companilactobacillus crustorum strain MN047 chromosome, complete genome",2261471,"([0.0], 0, [17150])",False,"(365, 865)",615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010506.1,"Shewanella woodyi ATCC 51908, complete sequence",5935403,"([0.0], 0, [173680])",False,"(5911955, 5912455)",5912205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP040709.1,"Inhella inkyongensis strain IMCC1713 chromosome, complete genome",4084412,"([0.0], 300, [184290])",False,"(91660, 92160)",91910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008260.1,"Alcanivorax borkumensis SK2, complete sequence",3120143,"([0.0], 0, [4430])",False,"(3120113, 471)",221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LS483447.1,"Porphyromonas crevioricanis strain NCTC12858 chromosome 1, complete sequence",2133352,"([0.0], 200, [385790])",False,"(446946, 447446)",447196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011898.1,"Ruminiclostridium cellulolyticum H10, complete sequence",4068724,"([0.0], 0, [158320])",False,"(4060552, 4061052)",4060802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP019312.1,"Chromobacterium haemolyticum strain CH06-BL chromosome, complete genome",5307994,"([0.0], 0, [576890])",False,"(5158356, 5158856)",5158606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP017253.2,"Clostridium taeniosporum strain 1/k chromosome, complete genome",3264813,"([0.0], 0, [94950])",False,"(4859, 5359)",5109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014394.1,"Gallionella capsiferriformans ES-2, complete sequence",3162471,"([0.0], 0, [34630])",False,"(3162443, 473)",223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010524.1,"Leptothrix cholodnii SP-6, complete sequence",4909403,"([0.0, 0.0, 0.0], 0, [481960, 353390, 544640])",False,"(4870460, 4870960)",4870710,"(2826, 3326)",3076,"(488411, 488911)",488661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP051548.1,"Phytobacter diazotrophicus strain UAEU22 chromosome, complete genome",5422265,"([0.0, 0.0], 0, [98990, 3960])",True,"(443088, 443588)",443338,"(5421110, 5421610)",5421360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010581.1,"Beijerinckia indica subsp. indica ATCC 9039, complete sequence",4170153,"([0.0, 0.0, 0.0], 0, [533970, 309960, 195400])",False,"(4154511, 4155011)",4154761,"(26555, 27055)",26805,"(2964255, 2964755)",2964505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011666.1,"Methylocella silvestris BL2, complete sequence",4305430,"([0.0], 200, [24050])",False,"(383196, 383696)",383446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP061539.1,"Rothia terrae strain KJZ-14 chromosome, complete genome",2479856,"([0.0, 0.0, 0.0], 0, [568930, 98640, 164490])",False,"(2474620, 2475120)",2474870,"(241956, 242456)",242206,"(719483, 719983)",719733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011901.1,"Thioalkalivibrio sulfidiphilus HL-EbGr7, complete sequence",3464554,"([0.0], 0, [95060])",False,"(3449285, 3449785)",3449535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP086068.1,"Mucilaginibacter daejeonensis strain KACC 14964 chromosome, complete genome",4810254,"([0.0, 0.0], 0, [396790, 74440])",False,"(3250, 3750)",3500,"(3148892, 3149392)",3149142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP042436.1,"Mucilaginibacter ginsenosidivorans strain Gsoil 3017 chromosome, complete genome",5352833,"([0.0], 0, [220640])",False,"(2325712, 2326212)",2325962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010681.1,"Paraburkholderia phytofirmans PsJN chromosome 1, complete sequence",4467537,"([0.0, 0.0, 0.0], 0, [560160, 110660, 294400])",True,"(4406351, 4406851)",4406601,"(15084, 15584)",15334,"(4439892, 4440392)",4440142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009901.1,"Shewanella pealeana ATCC 700345, complete sequence",5174581,"([0.0], 0, [262400])",False,"(12885, 13385)",13135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009952.1,"Dinoroseobacter shibae DFL 12 = DSM 16493, complete sequence",3789584,"([0.0, 0.0, 0.0], 0, [45780, 545190, 15750])",False,"(3762158, 3762658)",3762408,"(2319817, 2320317)",2320067,"(3403156, 3403656)",3403406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP022575.1,"Mycobacterium shinjukuense strain JCM 14233 chromosome, complete genome",4504020,"([0.0, 0.0], 0, [133100, 52700])",False,"(3880474, 3880974)",3880724,"(4304083, 4304583)",4304333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010814.1,"Trichlorobacter lovleyi SZ, complete sequence",3917761,"([0.0], 0, [1810])",False,"(3917422, 160)",3917672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP019607.1,"Tessaracoccus flavescens strain SST-39T chromosome, complete genome",3603805,"([0.0], 0, [397010])",False,"(3134489, 3134989)",3134739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP069162.1,"Paludibacterium yongneupense strain BCRC 80531 chromosome, complete genome",4413527,"([0.0], 0, [11210])",False,"(164989, 165489)",165239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT906439.1,"Streptococcus merionis strain NCTC13788 chromosome 1, complete sequence",2384128,"([0.0], 0, [497310])",False,"(1996781, 1997281)",1997031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009621.1,"Pontibacter korlensis strain X14-1T chromosome, complete genome",5462537,"([0.0, 0.0], 0, [535360, 343630])",False,"(1515439, 1515939)",1515689,"(5429635, 5430135)",5429885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP042304.1,"Devosia ginsengisoli strain Gsoil 520 chromosome, complete genome",4480314,"([0.0, 0.0], 0, [16190, 60930])",False,"(4320926, 4321426)",4321176,"(156861, 157361)",157111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014963.1,"Terriglobus saanensis SP1PR4, complete sequence",5095226,"([0.0, 0.0, 0.0, 0.0], 0, [125890, 30060, 192530, 66200])",False,"(334498, 334998)",334748,"(3136130, 3136630)",3136380,"(4947636, 4948136)",4947886,"(1215205, 1215705)",1215455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP034464.1,"Undibacterium parvum strain DSM 23061 chromosome, complete genome",4910324,"([0.0], 0, [116010])",False,"(2072315, 2072815)",2072565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009215.1,"Corynebacterium ureicelerivorans strain IMMIB RIV-2301 chromosome, complete genome",2279990,"([0.0], 0, [139120])",False,"(34981, 35481)",35231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP020772.1,"Halobacillus mangrovi strain KTB 131 chromosome, complete genome",4142697,"([0.0], 0, [155230])",False,"(210587, 211087)",210837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP027002.1,"[Ruminococcus] gnavus ATCC 29149 chromosome, complete genome",3549191,"([0.0], 0, [191870])",False,"(2325702, 2326202)",2325952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP085930.1,"Coprococcus eutactus ATCC 27759 strain FDAARGOS_1581 chromosome, complete genome",3113335,"([0.0], 0, [173470])",False,"(1586364, 1586864)",1586614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP014638.1,Leptolyngbya boryana IAM M-101 chromosome,6176364,"([0.0, 0.0], 0, [401580, 495640])",True,"(141778, 142278)",142028,"(2448326, 2448826)",2448576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP024035.1,"Priestia aryabhattai strain K13 chromosome, complete genome",5035815,"([0.0], 0, [65690])",False,"(2927, 3427)",3177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011244.1,"Borrelia recurrentis A1, complete sequence",930981,"([0.0], 0, [239200])",False,"(489011, 489511)",489261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009465.1,"Candidatus Vesicomyosocius okutanii, complete sequence",1022154,"([0.0, 0.0], 0, [312920, 940])",False,"(1021913, 260)",10,"(371317, 371817)",371567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008610.1,"Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica), complete sequence",1160782,"([0.0], 0, [61330])",False,"(3003, 3503)",3253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009495.1,"Clostridium botulinum A str. ATCC 3502, complete sequence",3886916,"([0.0], 200, [4260])",False,"(3886433, 16)",3886683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011420.2,"Rhodospirillum centenum SW, complete sequence",4355543,"([0.0], 0, [257470])",False,"(3963480, 3963980)",3963730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021780.1,"Paenibacillus donghaensis strain KCTC 13049 chromosome, complete genome",8542333,"([0.0, 0.0], 0, [67910, 24390])",False,"(7064734, 7065234)",7064984,"(980, 1480)",1230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016543.2,"Planococcus donghaensis strain DSM 22276 chromosome, complete genome",3305371,"([0.0], 0, [56510])",False,"(3023, 3523)",3273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022752.1,"Actinopolyspora erythraea strain YIM 90600 chromosome, complete genome",5243930,"([0.0], 300, [12020])",False,"(5242923, 5243423)",5243173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009828.1,"Pseudothermotoga lettingae TMO, complete sequence",2135342,"([0.0], 0, [545930])",False,"(899046, 899546)",899296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP038015.1,"Paenisporosarcina antarctica strain CGMCC 1.6503 chromosome, complete genome",3897111,"([0.0], 0, [97720])",False,"(3791595, 3792095)",3791845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023074.1,"Enterococcus thailandicus strain a523 chromosome, complete genome",2646250,"([0.0], 0, [65210])",False,"(2642866, 2643366)",2643116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP015367.1,"Methylobacterium phyllosphaerae strain CBMB27 chromosome, complete genome",6083998,"([0.0], 0, [445850])",False,"(5897954, 5898454)",5898204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016210.1,"Azoarcus olearius strain DQS-4 chromosome, complete genome",4451751,"([0.0, 0.0], 0, [138870, 364440])",False,"(4442753, 4443253)",4443003,"(139265, 139765)",139515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP045871.1,"Litoricola lipolytica strain IMCC 1097 chromosome, complete genome",2346037,"([0.0], 0, [17490])",False,"(124260, 124760)",124510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_008825.1,"Methylibium petroleiphilum PM1, complete sequence",4044195,"([0.0, 0.0], 0, [210610, 160610])",False,"(4031861, 4032361)",4032111,"(446457, 446957)",446707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP030926.1,"Peribacillus butanolivorans strain PHB-7a chromosome, complete genome",5568346,"([0.0], 0, [66010])",False,"(2445418, 2445918)",2445668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009831.1,"Shewanella sediminis HAW-EB3, complete sequence",5517674,"([0.0], 0, [41060])",False,"(5515462, 5515962)",5515712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010505.1,"Methylobacterium radiotolerans JCM 2831, complete sequence",6077833,"([0.0, 0.0, 0.0, 0.0], 0, [16840, 96280, 584860, 441990])",False,"(4941, 5441)",5191,"(4078431, 4078931)",4078681,"(2188482, 2188982)",2188732,"(515693, 516193)",515943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013385.1,"Ammonifex degensii KC4, complete sequence",2129237,"([0.0], 0, [16880])",False,"(712, 1212)",962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP078143.1,"Nitratireductor kimnyeongensis strain KACC 11904 chromosome, complete genome",3790143,"([0.0, 0.0], 300, [2580, 60])",False,"(1719906, 1720406)",1720156,"(3789755, 111)",3790005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010729.1,"Porphyromonas gingivalis ATCC 33277, complete sequence",2354886,"([0.0], 0, [263660])",False,"(633383, 633883)",633633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP023367.1,"Anaerocolumna cellulosilytica strain SN021 chromosome, complete genome",5430627,"([0.0], 0, [125860])",False,"(5424084, 5424584)",5424334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP048649.1,"Aminipila butyrica strain DSM 103574 chromosome, complete genome",3334849,"([0.0], 0, [17280])",False,"(165618, 166118)",165868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP060713.1,"Nocardioides mesophilus strain KACC 16243 chromosome, complete genome",4488624,"([0.0, 0.0], 0, [47570, 49750])",False,"(1942679, 1943179)",1942929,"(1539661, 1540161)",1539911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013009.1,"Neorickettsia risticii str. Illinois, complete sequence",879977,"([0.0], 300, [56170])",False,"(877701, 878201)",877951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP023465.1,"Lysobacter capsici strain KNU-14 chromosome, complete genome",6270417,"([0.0, 0.0], 0, [452210, 431030])",False,"(23630, 24130)",23880,"(6249885, 6250385)",6250135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP087715.1,"Microbulbifer celer strain KCTC 12973 chromosome, complete genome",4346001,"([0.0, 0.0], 0, [375570, 1560])",True,"(3800801, 3801301)",3801051,"(4345842, 342)",92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP001668.1,"Mycoplasma mycoides subsp. capri str. GM12 chromosome clone deltatypeIIIres, complete genome",1084586,"([0.0, 0.0, 0.0], 0, [225250, 392950, 456490])",True,"(1064061, 1064561)",1064311,"(684828, 685328)",685078,"(13564, 14064)",13814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP073713.1,"Lysinibacillus parviboronicapiens strain VT1065 chromosome, complete genome",4822805,"([0.0], 0, [18880])",False,"(1146, 1646)",1396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014259.1,"Acinetobacter oleivorans DR1, complete sequence",4152543,"([0.0], 0, [5370])",False,"(4152220, 176)",4152470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP024966.1,"Megamonas funiformis strain 1CBH44 chromosome, complete genome",2310709,"([0.0], 0, [51340])",False,"(2270, 2770)",2520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_009937.1,"Azorhizobium caulinodans ORS 571, complete sequence",5369772,"([0.0, 0.0, 0.0, 0.0], 0, [36110, 70, 515120, 453050])",False,"(5366302, 5366802)",5366552,"(4374269, 4374769)",4374519,"(987928, 988428)",988178,"(1484582, 1485082)",1484832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_014219.1,"[Bacillus] selenitireducens MLS10, complete sequence",3592487,"([0.0], 0, [98400])",False,"(5270, 5770)",5520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR778175.1,"Candidatus Nitrosacidococcus tergens isolate NSCAC1 chromosome 1, complete sequence",1811369,"([0.0], 0, [204480])",False,"(1168573, 1169073)",1168823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013947.1,"Stackebrandtia nassauensis DSM 44728, complete sequence",6841557,"([0.0, 0.0], 0, [235450, 567440])",False,"(3333340, 3333840)",3333590,"(2150951, 2151451)",2151201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_013530.1,"Xylanimonas cellulosilytica DSM 15894, complete sequence",3742776,"([0.0, 0.0], 0, [585570, 20690])",True,"(1902153, 1902653)",1902403,"(1448528, 1449028)",1448778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP031941.1,"Nostoc sphaeroides strain Kutzing En chromosome, complete genome",6531820,"([0.0], 0, [284300])",False,"(3531368, 3531868)",3531618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013254.1,"Kocuria flava strain HO-9041 chromosome, complete genome",3504335,"([0.0, 0.0, 0.0, 0.0], 0, [49520, 307340, 112690, 269530])",True,"(274980, 275480)",275230,"(3447722, 3448222)",3447972,"(1588428, 1588928)",1588678,"(602921, 603421)",603171,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010162.1,"Sorangium cellulosum So ce56, complete sequence",13033779,"([0.0], 200, [39970])",False,"(11321578, 11322078)",11321828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP041146.1,"Nocardioides humi strain DCY24 chromosome, complete genome",6220618,"([0.0, 0.0], 0, [420440, 1030])",False,"(6220317, 198)",6220567,"(5487828, 5488328)",5488078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP035946.1,"Campylobacter canadensis strain LMG 24001 chromosome, complete genome",1923009,"([0.0, 0.0], 0, [208350, 194910])",False,"(1913021, 1913521)",1913271,"(1194335, 1194835)",1194585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP060052.1,"Croceicoccus marinus strain OT19 chromosome, complete genome",3108694,"([0.0, 0.0, 0.0, 0.0], 0, [153650, 347940, 312290, 16190])",True,"(3091031, 3091531)",3091281,"(498040, 498540)",498290,"(2403939, 2404439)",2404189,"(1998863, 1999363)",1999113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011144.1,"Phenylobacterium zucineum HLK1, complete sequence",3996255,"([0.0, 0.0], 0, [486880, 140890])",False,"(24773, 25273)",25023,"(3891030, 3891530)",3891280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP049250.1,"Rhizobium rhizoryzae strain DSM 29514 chromosome, complete genome",3375736,"([0.0, 0.0, 0.0], 200, [44440, 264930, 27840])",False,"(997031, 997531)",997281,"(3241929, 3242429)",3242179,"(1604714, 1605214)",1604964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010830.1,"Candidatus Amoebophilus asiaticus 5a2, complete sequence",1884364,"([0.0, 0.0], 0, [240730, 512120])",False,"(315207, 315707)",315457,"(115323, 115823)",115573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010571.1,"Opitutus terrae PB90-1, complete sequence",5957605,"([0.0, 0.0], 0, [149980, 26370])",False,"(991304, 991804)",991554,"(461917, 462417)",462167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_016109.1,"Kitasatospora setae KM-6054, complete sequence",8783278,"([0.0, 0.0], 0, [281380, 2290])",True,"(4024222, 4024722)",4024472,"(4795794, 4796294)",4796044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010263.3,"Rickettsia rickettsii str. Iowa, complete sequence",1268201,"([0.0], 0, [218980])",False,"(41477, 41977)",41727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011886.1,"Pseudarthrobacter chlorophenolicus A6, complete sequence",4395537,"([0.0003185048834761259, 0.0003185048834761259, 0.0003185048834761259], 0, [483570, 162990, 126100])",False,"(4210448, 4210948)",4210698,"(529405, 529905)",529655,"(1361283, 1361783)",1361533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013979.1,"Agromyces aureus strain AR33 chromosome, complete genome",4373124,"([0.0, 0.0], 0, [224610, 422710])",True,"(2758028, 2758528)",2758278,"(4278504, 4279004)",4278754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP046603.1,"Lysobacter soli strain XL170 chromosome, complete genome",4109802,"([0.0], 0, [344550])",False,"(3968320, 3968820)",3968570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
